-- -----------------------------
-- Sample Users
-- -----------------------------
INSERT INTO users (username, email, password_hash, role)
VALUES
('admin1', 'admin@wastebin.com', '$2b$10$dummyhash', 'admin'),
('collector1', 'collector1@wastebin.com', '$2b$10$dummyhash', 'collector'),
('collector2', 'collector2@wastebin.com', '$2b$10$dummyhash', 'collector'),
('manager1', 'manager@wastebin.com', '$2b$10$dummyhash', 'manager');
INSERT INTO households (name, ward, waste_generated_per_day, location, contact_info, household_type) VALUES
('Household_1', 'Anna Nagar', 1.5, ST_SetSRID(ST_MakePoint(80.2081, 13.0829), 4326), 'hh1@email.com', 'residential'),
('Household_56', 'Royapuram', 1.0, ST_SetSRID(ST_MakePoint(80.2775, 13.0760), 4326), 'hh56@email.com', 'residential'),
('Household_57', 'Royapuram', 2.3, ST_SetSRID(ST_MakePoint(80.2780, 13.0780), 4326), 'hh57@email.com', 'residential'),
('Household_58', 'Royapuram', 1.6, ST_SetSRID(ST_MakePoint(80.2755, 13.0755), 4326), 'hh58@email.com', 'residential'),
('Household_59', 'Tondiarpet', 1.1, ST_SetSRID(ST_MakePoint(80.2645, 13.0850), 4326), 'hh59@email.com', 'residential'),
('Household_60', 'Tondiarpet', 1.9, ST_SetSRID(ST_MakePoint(80.2635, 13.0840), 4326), 'hh60@email.com', 'residential'),
('Household_61', 'Tondiarpet', 1.4, ST_SetSRID(ST_MakePoint(80.2650, 13.0855), 4326), 'hh61@email.com', 'residential'),
('Household_62', 'Tondiarpet', 2.5, ST_SetSRID(ST_MakePoint(80.2630, 13.0835), 4326), 'hh62@email.com', 'residential'),
('Household_63', 'KK Nagar', 1.7, ST_SetSRID(ST_MakePoint(80.2312, 13.0339), 4326), 'hh63@email.com', 'residential'),
('Household_64', 'KK Nagar', 0.8, ST_SetSRID(ST_MakePoint(80.2305, 13.0333), 4326), 'hh64@email.com', 'residential'),
('Household_65', 'KK Nagar', 2.2, ST_SetSRID(ST_MakePoint(80.2318, 13.0345), 4326), 'hh65@email.com', 'residential'),
('Household_66', 'KK Nagar', 1.3, ST_SetSRID(ST_MakePoint(80.2302, 13.0328), 4326), 'hh66@email.com', 'residential'),
('Household_67', 'Tambaram', 1.6, ST_SetSRID(ST_MakePoint(80.2460, 12.9155), 4326), 'hh67@email.com', 'residential'),
('Household_68', 'Tambaram', 1.2, ST_SetSRID(ST_MakePoint(80.2450, 12.9145), 4326), 'hh68@email.com', 'residential'),
('Household_69', 'Tambaram', 2.1, ST_SetSRID(ST_MakePoint(80.2470, 12.9160), 4326), 'hh69@email.com', 'residential'),
('Household_70', 'Tambaram', 0.7, ST_SetSRID(ST_MakePoint(80.2445, 12.9135), 4326), 'hh70@email.com', 'residential'),
('Household_71', 'Selaiyur', 1.8, ST_SetSRID(ST_MakePoint(80.2525, 12.9216), 4326), 'hh71@email.com', 'residential'),
('Household_72', 'Selaiyur', 1.4, ST_SetSRID(ST_MakePoint(80.2515, 12.9206), 4326), 'hh72@email.com', 'residential'),
('Household_73', 'Selaiyur', 2.3, ST_SetSRID(ST_MakePoint(80.2530, 12.9221), 4326), 'hh73@email.com', 'residential'),
('Household_74', 'Selaiyur', 1.0, ST_SetSRID(ST_MakePoint(80.2510, 12.9200), 4326), 'hh74@email.com', 'residential'),
('Household_75', 'Velachery', 1.5, ST_SetSRID(ST_MakePoint(80.2705, 12.9900), 4326), 'hh75@email.com', 'residential'),
('Household_76', 'Velachery', 1.9, ST_SetSRID(ST_MakePoint(80.2715, 12.9910), 4326), 'hh76@email.com', 'residential'),
('Household_77', 'Velachery', 1.2, ST_SetSRID(ST_MakePoint(80.2720, 12.9905), 4326), 'hh77@email.com', 'residential'),
('Household_78', 'Velachery', 2.4, ST_SetSRID(ST_MakePoint(80.2710, 12.9895), 4326), 'hh78@email.com', 'residential'),
('Household_79', 'Mambalam', 1.6, ST_SetSRID(ST_MakePoint(80.2490, 13.0165), 4326), 'hh79@email.com', 'residential'),
('Household_80', 'Mambalam', 1.3, ST_SetSRID(ST_MakePoint(80.2480, 13.0158), 4326), 'hh80@email.com', 'residential'),
('Household_81', 'Mambalam', 2.0, ST_SetSRID(ST_MakePoint(80.2495, 13.0170), 4326), 'hh81@email.com', 'residential'),
('Household_82', 'Mambalam', 0.9, ST_SetSRID(ST_MakePoint(80.2475, 13.0150), 4326), 'hh82@email.com', 'residential'),
('Household_83', 'Kolathur', 1.7, ST_SetSRID(ST_MakePoint(80.2190, 13.0895), 4326), 'hh83@email.com', 'residential'),
('Household_84', 'Kolathur', 1.4, ST_SetSRID(ST_MakePoint(80.2180, 13.0885), 4326), 'hh84@email.com', 'residential'),
('Household_85', 'Kolathur', 2.2, ST_SetSRID(ST_MakePoint(80.2195, 13.0900), 4326), 'hh85@email.com', 'residential'),
('Household_86', 'Kolathur', 1.1, ST_SetSRID(ST_MakePoint(80.2175, 13.0880), 4326), 'hh86@email.com', 'residential'),
('Household_87', 'Chromepet', 1.8, ST_SetSRID(ST_MakePoint(80.2135, 12.9470), 4326), 'hh87@email.com', 'residential'),
('Household_88', 'Chromepet', 1.5, ST_SetSRID(ST_MakePoint(80.2125, 12.9460), 4326), 'hh88@email.com', 'residential'),
('Household_89', 'Chromepet', 2.3, ST_SetSRID(ST_MakePoint(80.2140, 12.9475), 4326), 'hh89@email.com', 'residential'),
('Household_90', 'Chromepet', 0.7, ST_SetSRID(ST_MakePoint(80.2120, 12.9455), 4326), 'hh90@email.com', 'residential'),
('Household_91', 'Mandaveli', 1.4, ST_SetSRID(ST_MakePoint(80.2745, 13.0247), 4326), 'hh91@email.com', 'residential'),
('Household_92', 'Mandaveli', 2.1, ST_SetSRID(ST_MakePoint(80.2735, 13.0237), 4326), 'hh92@email.com', 'residential'),
('Household_93', 'Mandaveli', 1.0, ST_SetSRID(ST_MakePoint(80.2750, 13.0252), 4326), 'hh93@email.com', 'residential'),
('Household_94', 'Mandaveli', 1.6, ST_SetSRID(ST_MakePoint(80.2730, 13.0232), 4326), 'hh94@email.com', 'residential'),
('Household_95', 'Mogappair', 2.2, ST_SetSRID(ST_MakePoint(80.1705, 13.0650), 4326), 'hh95@email.com', 'residential'),
('Household_96', 'Mogappair', 1.3, ST_SetSRID(ST_MakePoint(80.1695, 13.0640), 4326), 'hh96@email.com', 'residential'),
('Household_97', 'Mogappair', 1.9, ST_SetSRID(ST_MakePoint(80.1710, 13.0655), 4326), 'hh97@email.com', 'residential'),
('Household_98', 'Mogappair', 0.5, ST_SetSRID(ST_MakePoint(80.1690, 13.0635), 4326), 'hh98@email.com', 'residential'),
('Household_99', 'Ambattur', 1.5, ST_SetSRID(ST_MakePoint(80.1788, 13.0566), 4326), 'hh99@email.com', 'residential'),
('Household_100', 'Ambattur', 2.0, ST_SetSRID(ST_MakePoint(80.1778, 13.0556), 4326), 'hh100@email.com', 'residential'),
('Household_101', 'Ambattur', 1.2, ST_SetSRID(ST_MakePoint(80.1793, 13.0571), 4326), 'hh101@email.com', 'residential'),
('Household_102', 'Ambattur', 1.8, ST_SetSRID(ST_MakePoint(80.1773, 13.0551), 4326), 'hh102@email.com', 'residential'),
('Household_103', 'Vandalur', 2.4, ST_SetSRID(ST_MakePoint(80.2149, 12.9027), 4326), 'hh103@email.com', 'residential'),
('Household_104', 'Vandalur', 1.1, ST_SetSRID(ST_MakePoint(80.2139, 12.9017), 4326), 'hh104@email.com', 'residential'),
('Household_105', 'Vandalur', 1.6, ST_SetSRID(ST_MakePoint(80.2154, 12.9032), 4326), 'hh105@email.com', 'residential'),
('Household_106', 'Vandalur', 2.3, ST_SetSRID(ST_MakePoint(80.2134, 12.9012), 4326), 'hh106@email.com', 'residential'),
('Household_107', 'Red Hills', 1.4, ST_SetSRID(ST_MakePoint(80.1794, 13.1116), 4326), 'hh107@email.com', 'residential'),
('Household_108', 'Red Hills', 1.7, ST_SetSRID(ST_MakePoint(80.1784, 13.1106), 4326), 'hh108@email.com', 'residential'),
('Household_109', 'Red Hills', 0.9, ST_SetSRID(ST_MakePoint(80.1800, 13.1122), 4326), 'hh109@email.com', 'residential'),
('Household_110', 'Red Hills', 2.1, ST_SetSRID(ST_MakePoint(80.1779, 13.1101), 4326), 'hh110@email.com', 'residential'),
('Household_111', 'Arcot Road', 1.3, ST_SetSRID(ST_MakePoint(80.2317, 13.0455), 4326), 'hh111@email.com', 'residential'),
('Household_112', 'Arcot Road', 2.2, ST_SetSRID(ST_MakePoint(80.2307, 13.0445), 4326), 'hh112@email.com', 'residential'),
('Household_113', 'Arcot Road', 1.5, ST_SetSRID(ST_MakePoint(80.2322, 13.0460), 4326), 'hh113@email.com', 'residential'),
('Household_114', 'Arcot Road', 0.6, ST_SetSRID(ST_MakePoint(80.2302, 13.0440), 4326), 'hh114@email.com', 'residential'),
('Household_115', 'Perambur', 1.8, ST_SetSRID(ST_MakePoint(80.2382, 13.0794), 4326), 'hh115@email.com', 'residential'),
('Household_116', 'Perambur', 1.0, ST_SetSRID(ST_MakePoint(80.2372, 13.0784), 4326), 'hh116@email.com', 'residential'),
('Household_117', 'Perambur', 2.3, ST_SetSRID(ST_MakePoint(80.2387, 13.0799), 4326), 'hh117@email.com', 'residential'),
('Household_118', 'Perambur', 1.6, ST_SetSRID(ST_MakePoint(80.2367, 13.0779), 4326), 'hh118@email.com', 'residential'),
('Household_119', 'Cathedral Rd', 1.1, ST_SetSRID(ST_MakePoint(80.2686, 13.0524), 4326), 'hh119@email.com', 'residential'),
('Household_120', 'Cathedral Rd', 1.9, ST_SetSRID(ST_MakePoint(80.2676, 13.0514), 4326), 'hh120@email.com', 'residential'),
('Household_121', 'Cathedral Rd', 1.4, ST_SetSRID(ST_MakePoint(80.2691, 13.0529), 4326), 'hh121@email.com', 'residential'),
('Household_122', 'Cathedral Rd', 2.5, ST_SetSRID(ST_MakePoint(80.2671, 13.0509), 4326), 'hh122@email.com', 'residential'),
('Household_123', 'Medavakkam', 1.7, ST_SetSRID(ST_MakePoint(80.2023, 12.9349), 4326), 'hh123@email.com', 'residential'),
('Household_124', 'Medavakkam', 0.8, ST_SetSRID(ST_MakePoint(80.2013, 12.9339), 4326), 'hh124@email.com', 'residential'),
('Household_125', 'Medavakkam', 2.2, ST_SetSRID(ST_MakePoint(80.2028, 12.9354), 4326), 'hh125@email.com', 'residential'),
('Household_126', 'Medavakkam', 1.3, ST_SetSRID(ST_MakePoint(80.2008, 12.9334), 4326), 'hh126@email.com', 'residential'),
('Household_127', 'Taramani', 1.6, ST_SetSRID(ST_MakePoint(80.2560, 12.9577), 4326), 'hh127@email.com', 'residential'),
('Household_128', 'Taramani', 1.2, ST_SetSRID(ST_MakePoint(80.2550, 12.9567), 4326), 'hh128@email.com', 'residential'),
('Household_129', 'Taramani', 2.1, ST_SetSRID(ST_MakePoint(80.2565, 12.9582), 4326), 'hh129@email.com', 'residential'),
('Household_130', 'Taramani', 0.7, ST_SetSRID(ST_MakePoint(80.2545, 12.9562), 4326), 'hh130@email.com', 'residential'),
('Household_131', 'Pondy Bazaar', 1.8, ST_SetSRID(ST_MakePoint(80.2455, 13.0390), 4326), 'hh131@email.com', 'residential'),
('Household_132', 'Pondy Bazaar', 1.4, ST_SetSRID(ST_MakePoint(80.2445, 13.0380), 4326), 'hh132@email.com', 'residential'),
('Household_133', 'Pondy Bazaar', 2.3, ST_SetSRID(ST_MakePoint(80.2460, 13.0395), 4326), 'hh133@email.com', 'residential'),
('Household_134', 'Pondy Bazaar', 1.0, ST_SetSRID(ST_MakePoint(80.2440, 13.0375), 4326), 'hh134@email.com', 'residential'),
('Household_135', 'Besant Nagar', 1.5, ST_SetSRID(ST_MakePoint(80.2860, 13.0220), 4326), 'hh135@email.com', 'residential'),
('Household_136', 'Besant Nagar', 1.9, ST_SetSRID(ST_MakePoint(80.2850, 13.0215), 4326), 'hh136@email.com', 'residential'),
('Household_137', 'Besant Nagar', 1.2, ST_SetSRID(ST_MakePoint(80.2870, 13.0225), 4326), 'hh137@email.com', 'residential'),
('Household_138', 'Besant Nagar', 2.4, ST_SetSRID(ST_MakePoint(80.2845, 13.0210), 4326), 'hh138@email.com', 'residential'),
('Household_139', 'Madhavaram', 1.6, ST_SetSRID(ST_MakePoint(80.2405, 13.0904), 4326), 'hh139@email.com', 'residential'),
('Household_140', 'Madhavaram', 1.3, ST_SetSRID(ST_MakePoint(80.2395, 13.0894), 4326), 'hh140@email.com', 'residential'),
('Household_141', 'Madhavaram', 2.0, ST_SetSRID(ST_MakePoint(80.2410, 13.0909), 4326), 'hh141@email.com', 'residential'),
('Household_142', 'Madhavaram', 0.9, ST_SetSRID(ST_MakePoint(80.2390, 13.0889), 4326), 'hh142@email.com', 'residential'),
('Household_143', 'Ekkattuthangal', 1.7, ST_SetSRID(ST_MakePoint(80.2535, 13.0095), 4326), 'hh143@email.com', 'residential'),
('Household_144', 'Ekkattuthangal', 1.4, ST_SetSRID(ST_MakePoint(80.2525, 13.0085), 4326), 'hh144@email.com', 'residential'),
('Household_145', 'Ekkattuthangal', 2.2, ST_SetSRID(ST_MakePoint(80.2540, 13.0100), 4326), 'hh145@email.com', 'residential'),
('Household_146', 'Ekkattuthangal', 1.1, ST_SetSRID(ST_MakePoint(80.2520, 13.0080), 4326), 'hh146@email.com', 'residential'),
('Household_147', 'Ramapuram', 1.8, ST_SetSRID(ST_MakePoint(80.2010, 13.0185), 4326), 'hh147@email.com', 'residential'),
('Household_148', 'Ramapuram', 1.5, ST_SetSRID(ST_MakePoint(80.2000, 13.0175), 4326), 'hh148@email.com', 'residential'),
('Household_149', 'Ramapuram', 2.3, ST_SetSRID(ST_MakePoint(80.2015, 13.0190), 4326), 'hh149@email.com', 'residential'),
('Household_150', 'Ramapuram', 0.7, ST_SetSRID(ST_MakePoint(80.1995, 13.0170), 4326), 'hh150@email.com', 'residential'),
('Household_151', 'Tambaram Sanatorium', 1.4, ST_SetSRID(ST_MakePoint(80.1985, 12.9255), 4326), 'hh151@email.com', 'residential'),
('Household_152', 'Tambaram Sanatorium', 2.1, ST_SetSRID(ST_MakePoint(80.1975, 12.9245), 4326), 'hh152@email.com', 'residential'),
('Household_153', 'Tambaram Sanatorium', 1.0, ST_SetSRID(ST_MakePoint(80.1990, 12.9260), 4326), 'hh153@email.com', 'residential'),
('Household_154', 'Tambaram Sanatorium', 1.6, ST_SetSRID(ST_MakePoint(80.1970, 12.9240), 4326), 'hh154@email.com', 'residential'),
('Household_155', 'Sholinganallur', 2.2, ST_SetSRID(ST_MakePoint(80.2860, 13.0016), 4326), 'hh155@email.com', 'residential'),
('Household_156', 'Sholinganallur', 1.3, ST_SetSRID(ST_MakePoint(80.2850, 13.0006), 4326), 'hh156@email.com', 'residential'),
('Household_157', 'Sholinganallur', 1.9, ST_SetSRID(ST_MakePoint(80.2865, 13.0021), 4326), 'hh157@email.com', 'residential'),
('Household_158', 'Sholinganallur', 0.5, ST_SetSRID(ST_MakePoint(80.2845, 13.0001), 4326), 'hh158@email.com', 'residential'),
('Household_159', 'Urapakkam', 1.5, ST_SetSRID(ST_MakePoint(80.2406, 12.8715), 4326), 'hh159@email.com', 'residential'),
('Household_160', 'Urapakkam', 2.0, ST_SetSRID(ST_MakePoint(80.2396, 12.8705), 4326), 'hh160@email.com', 'residential'),
('Household_161', 'Urapakkam', 1.2, ST_SetSRID(ST_MakePoint(80.2411, 12.8720), 4326), 'hh161@email.com', 'residential'),
('Household_162', 'Urapakkam', 1.8, ST_SetSRID(ST_MakePoint(80.2391, 12.8700), 4326), 'hh162@email.com', 'residential'),
('Household_163', 'Manapakkam', 2.4, ST_SetSRID(ST_MakePoint(80.2115, 13.0055), 4326), 'hh163@email.com', 'residential'),
('Household_164', 'Manapakkam', 1.1, ST_SetSRID(ST_MakePoint(80.2105, 13.0045), 4326), 'hh164@email.com', 'residential'),
('Household_165', 'Manapakkam', 1.6, ST_SetSRID(ST_MakePoint(80.2120, 13.0060), 4326), 'hh165@email.com', 'residential'),
('Household_166', 'Manapakkam', 2.3, ST_SetSRID(ST_MakePoint(80.2100, 13.0040), 4326), 'hh166@email.com', 'residential'),
('Household_167', 'West Mambalam', 1.4, ST_SetSRID(ST_MakePoint(80.2527, 13.0320), 4326), 'hh167@email.com', 'residential'),
('Household_168', 'West Mambalam', 1.7, ST_SetSRID(ST_MakePoint(80.2517, 13.0310), 4326), 'hh168@email.com', 'residential'),
('Household_169', 'West Mambalam', 0.9, ST_SetSRID(ST_MakePoint(80.2532, 13.0325), 4326), 'hh169@email.com', 'residential'),
('Household_170', 'West Mambalam', 2.1, ST_SetSRID(ST_MakePoint(80.2512, 13.0305), 4326), 'hh170@email.com', 'residential'),
('Household_171', 'Anna Nagar West Ext.', 1.3, ST_SetSRID(ST_MakePoint(80.2015, 13.0615), 4326), 'hh171@email.com', 'residential'),
('Household_172', 'Anna Nagar West Ext.', 2.2, ST_SetSRID(ST_MakePoint(80.2005, 13.0605), 4326), 'hh172@email.com', 'residential'),
('Household_173', 'Anna Nagar West Ext.', 1.5, ST_SetSRID(ST_MakePoint(80.2020, 13.0620), 4326), 'hh173@email.com', 'residential'),
('Household_174', 'Anna Nagar West Ext.', 0.6, ST_SetSRID(ST_MakePoint(80.2000, 13.0600), 4326), 'hh174@email.com', 'residential'),
('Household_175', 'Kasimedu', 1.8, ST_SetSRID(ST_MakePoint(80.2690, 13.0885), 4326), 'hh175@email.com', 'residential'),
('Household_176', 'Kasimedu', 1.0, ST_SetSRID(ST_MakePoint(80.2700, 13.0895), 4326), 'hh176@email.com', 'residential'),
('Household_177', 'Kasimedu', 2.3, ST_SetSRID(ST_MakePoint(80.2710, 13.0900), 4326), 'hh177@email.com', 'residential'),
('Household_178', 'Kasimedu', 1.6, ST_SetSRID(ST_MakePoint(80.2685, 13.0880), 4326), 'hh178@email.com', 'residential'),
('Household_179', 'Saligramam', 1.1, ST_SetSRID(ST_MakePoint(80.2055, 13.0305), 4326), 'hh179@email.com', 'residential'),
('Household_180', 'Saligramam', 1.9, ST_SetSRID(ST_MakePoint(80.2045, 13.0295), 4326), 'hh180@email.com', 'residential'),
('Household_181', 'Saligramam', 1.4, ST_SetSRID(ST_MakePoint(80.2060, 13.0310), 4326), 'hh181@email.com', 'residential'),
('Household_182', 'Saligramam', 2.5, ST_SetSRID(ST_MakePoint(80.2040, 13.0290), 4326), 'hh182@email.com', 'residential'),
('Household_183', 'Gopalapuram', 1.7, ST_SetSRID(ST_MakePoint(80.2585, 13.0515), 4326), 'hh183@email.com', 'residential'),
('Household_184', 'Gopalapuram', 0.8, ST_SetSRID(ST_MakePoint(80.2575, 13.0505), 4326), 'hh184@email.com', 'residential'),
('Household_185', 'Gopalapuram', 2.2, ST_SetSRID(ST_MakePoint(80.2590, 13.0520), 4326), 'hh185@email.com', 'residential'),
('Household_186', 'Gopalapuram', 1.3, ST_SetSRID(ST_MakePoint(80.2570, 13.0500), 4326), 'hh186@email.com', 'residential'),
('Household_187', 'Neelangarai', 1.6, ST_SetSRID(ST_MakePoint(80.2915, 13.0145), 4326), 'hh187@email.com', 'residential'),
('Household_188', 'Neelangarai', 1.2, ST_SetSRID(ST_MakePoint(80.2905, 13.0135), 4326), 'hh188@email.com', 'residential'),
('Household_189', 'Neelangarai', 2.1, ST_SetSRID(ST_MakePoint(80.2920, 13.0150), 4326), 'hh189@email.com', 'residential'),
('Household_190', 'Neelangarai', 0.7, ST_SetSRID(ST_MakePoint(80.2900, 13.0130), 4326), 'hh190@email.com', 'residential'),
('Household_191', 'Kilpauk', 1.8, ST_SetSRID(ST_MakePoint(80.2465, 13.0695), 4326), 'hh191@email.com', 'residential'),
